customer_id,first_name,last_name,email,phone,join_date
1,Danielle,Johnson,jeffreydoyle@hotmail.com,001-819-600-1338x9083,3/3/2025
2,Jacqueline,Barnes,lisa02@hotmail.com,(542)351-1615x59407,9/8/2024
3,David,Nielsen,maria95@lee.com,316-475-2553,4/4/2025
4,Joseph,Zuniga,amandasanchez@gray-mayo.net,503.056.4139,9/29/2023
5,Jason,Porter,josephwright@hotmail.com,-4747,10/17/2022
6,Katelyn,Callahan,laurahenderson@cruz.info,480.184.5146x27048,3/2/2023
7,William,Rodriguez,ericfarmer@hotmail.com,001-809-570-1543x03911,6/21/2024
8,Lisa,Spence,donnaarroyo@baker.biz,834.657.8713,5/13/2023
9,Caleb,Smith,adrianzimmerman@perez.com,834-738-2997,6/10/2023
10,Kristen,Aguirre,davisryan@jenkins-shields.com,+1-106-513-3387x26247,6/21/2023
11,Nancy,Jones,pearsonamber@novak.com,(773)602-6064x74687,1/24/2023
12,James,Robinson,adkinsbrian@woods.com,121.913.6193x99091,3/10/2024
13,Diane,Cunningham,james53@yahoo.com,(247)510-7991x1838,7/14/2023
14,David,Bailey,mikemoore@warner.net,8412411824,8/9/2023
15,Cassandra,Robbins,william40@walters.com,5242786801,9/22/2022
16,Sierra,Vazquez,davenportbrandi@jordan.com,(053)315-8692x322,2/28/2024
17,Angel,Doyle,vpham@gmail.com,216-073-3754x330,3/19/2025
18,James,Murphy,michael86@zavala.com,294-019-6556x981,1/17/2024
19,Rachel,Lee,zsmith@mcdaniel.com,(615)951-4846x564,10/6/2024
20,David,Fisher,christinaturner@hotmail.com,4436995777,4/12/2025
21,Jason,Kennedy,campbellelizabeth@rogers.com,320.037.9176,1/31/2025
22,Barbara,Higgins,jross@hotmail.com,001-016-328-7083x172,5/19/2024
23,Elizabeth,Travis,usalazar@hotmail.com,(872)774-3487x34714,5/28/2023
24,Joseph,Flores,edwardreyes@mccarthy.biz,(587)603-6690x96705,9/4/2023
25,Karen,Castaneda,tracynelson@yahoo.com,6562729806,12/3/2024
26,Anne,Johnson,michellewhite@yahoo.com,(537)556-4641x7080,11/23/2023
27,Jeffrey,Jones,herringjames@howell.com,193.745.2991x2419,7/7/2022
28,Sarah,Johnston,mdavid@gmail.com,001-314-919-0586,3/21/2025
29,Mitchell,Hunter,atkinsonlynn@gmail.com,(572)628-4987x76945,6/14/2023
30,Mariah,Miller,karenhudson@hotmail.com,(507)527-3545x4948,6/13/2022
31,Zachary,Lee,wfreeman@vaughn.info,014.363.4957x885,3/19/2024
32,Wendy,Pierce,qnelson@gmail.com,351-823-3749,8/20/2024
33,Candice,Hooper,jeremy24@erickson.com,842710947,6/10/2024
34,Scott,Lopez,shelley71@morales.org,+1-022-941-3186x9993,8/17/2024
35,Omar,Kerr,ntorres@gmail.com,+1-133-412-3281x206,4/27/2024
36,Hannah,Harrison,keithcampbell@jones-hall.com,+1-936-183-2421x0249,10/29/2024
37,Samantha,Gonzales,holly48@hotmail.com,719.065.9401x3990,4/7/2025
38,Lori,Johnston,cstone@white-richards.info,756-551-2567,8/19/2023
39,Elaine,Morales,qmiller@wilson-barton.net,8760385977,8/17/2022
40,James,Dunn,fgilmore@gmail.com,9324808613,11/21/2022
41,Steven,Wilson,scantu@thornton.info,782.639.8214,3/3/2024
42,Matthew,French,campbellkenneth@hotmail.com,001-727-875-5886,5/5/2024
43,Sarah,Kane,xhall@williams-garner.biz,(270)289-5171x8702,2/24/2024
44,Monica,Booker,qharrington@hanson-sanders.com,865-780-9134x31611,4/17/2024
45,Garrett,Evans,nguyenbrian@brooks-thomas.net,(922)219-6937x92374,5/11/2024
46,Jonathan,Smith,erica21@yahoo.com,(946)474-3671x369,12/7/2023
47,Bailey,Haney,spencedominique@yahoo.com,9097439533,1/17/2025
48,John,Campos,bergerdebbie@kramer-johnson.com,001-214-562-3285x8842,7/2/2023
49,Robin,Raymond,linda71@gmail.com,001-368-516-0481x75496,2/13/2025
50,Shelby,Rodriguez,jjohnson@herman-walker.com,+1-746-120-0471x1382,1/22/2024
